成果発生年度,論文種別,国内/国際,タイトル,著者,掲載誌,DOI,発行年月日,掲載巻,掲載号,掲載開始ページ,掲載終了ページ,査読,論文ステータス区分,国際共著,備考
2022,研究論文（会議録、プロシーディングス）,国際,Elastic Sample Filter: AnFPGA-based Accelerator for Bayesian Network Structure Learning,"Ryota Miyagi, Ryota Yasudo, Kentaro Sano, Hideki Takase",Proceedings of 2022 IEEE International Conference on Field-Programmable Technology (FPT),10.1109/ICFPT56656.2022.9974196,2022/12/15,,,,,有,published,無,
2022,研究論文（学術雑誌）,国際,Instrumental Variable Regression via Kernel Maximum Moment Loss,"Rui Zhang, Masaaki Imaizumi, Bernard Schölkopf, Krikamol Muandet",Journal of Causal Inference,10.1515/jci-2022-0073,2023/01/10,11,1,,,有,published,有,
2022,研究論文（会議録、プロシーディングス）,国際,Unified Perspective onProbability Divergence via Maximum Likelihood Density Ratio Estimation: Bridging KL-Divergence and Integral Probability Metrics,"Masahiro Kato, Masaaki Imaizumi, Kentaro Minami",PMLR: Artificial Intelligence and Statistics,,2023/02/06,,,,,有,published,無,
2022,研究論文（研究会、シンポジウム資料等）,国内,定数係数畳み込み演算を対象とした論理圧縮アルゴリズムの検討,"空閑 康太, 高前田 伸也",電子情報通信学会研究会報告VLD2022-97,,2023/02/22,122,402,125,130,無,published,無,
2022,研究論文（会議録、プロシーディングス）,国際,WIP: Practical Removal Attacks on LiDAR-based Object Detection inAutonomous Driving,"T. Sato, Y.Hayakawa, R.Suzuki, Y.Shiiki, K. Yoshioka, Q.Chen",Vehicle Sec,,2023/02/27,,,,,有,published,有,
2022,研究論文（研究会、シンポジウム資料等）,国内,非中央集権型向けのモデル更新履歴を用いた連合学習手法および実用的なフレームワークの設計,"金森 勇介, 山﨑 雄輔, 細合 晋太郎, 中村 宏, 高瀬 英希",情報処理学会研究報告,,2023/03/08,2023-IOT-60,,,,無,published,無,
2022,研究論文（研究会、シンポジウム資料等）,国内,クラウド連携を対象としたアーキテクチャ中立なROSランタイムの検討,"柿本 翔大, 松原 克弥, 高瀬 英希",情報処理学会研究報告,,2023/03/16,2023-EMB-62,,,,無,published,無,
2022,研究論文（会議録、プロシーディングス）,国内,関数型言語ElixirのROS 2クライアントライブラリRclexのIoTプラットフォームNervesへの対応,"細合 晋太郎, 高瀬 英希, 出分 卓矢, 菊地 俊介",情報処理学会研究報告,,2023/03/16,2022-EMB-62,,,,無,published,無,
2022,研究論文（会議録、プロシーディングス）,国際,F2MKD: Fog-enabled Federated Learning with Mutual Knowledge Distillation,"Yusuke Yamasaki, Hideki Takase",Proceedings of 2023 IEEE 20th Consumer Communications & Networking Conference(CCNC),10.1109/CCNC51644.2023.10059910,2023/03/17,,,,,有,published,無,
2023,研究論文（会議録、プロシーディングス）,国際,Cachet: A High-Performance Joint Subtree Integrity Verification for Secure Non-Volatile Memory,Tatsuya Kubo and Shinya Takamaeda-Yamazaki,IEEE Symposium on Low-Power and High-Speed Chips and Systems (COOLChips 26),https://doi.org/10.1109/COOLCHIPS57690.2023.10122117,2023/04/19,,,,,有,published,無,
2023,研究論文（会議録、プロシーディングス）,国際,Poster: Multi UVs-Based Narrow Sewer Inspection System - UVs Formation Control and Video Streaming,"S. Ishihara, Y. Chikamoto, Y. Tsutsumi and T. V. Pham",2023 IEEE Vehicular Networking Conference (VNC),10.1109/VNC57357.2023.10136331,2023/04/26,,,173,174,有,published,無,
2023,研究論文（学術雑誌）,国内,Towards Reliable LiDARs for Autonomous Driving: A Review of High-Resolutionand Security Features,Kentaro Yoshioka,The Review of Laser Engineering,,2023/05/10,,,,,有,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,高精度衛星測位技術を利用したプローブデータの将来性に関する考察,"外谷 新, 木谷 友哉",情報処理学会研究報告,,2023/05/11,2023-ITS-93,21,1,7,無,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,浮流型無線カメラによる下水管検査のための音ビーコンを基にした位置追跡手法 〜 相互相関法を用いた実現 〜,"丸山 健斗, Thanh V. Pham, 石原 進",電子情報通信学会技術研究報告,,2023/05/18,123,"31, SeMI2023-3",9,14,無,published,無,
2023,研究論文（学術雑誌）,国内,深層学習と民生用 3D センサを用いた低コスト高精度肘関節可動域自動計測システムの試み,"鈴木諒, 吉岡 健太郎, 速川湧気, 中原龍一, 那須義久, 西田圭一郎, 尾崎敏文",中国・四国整形外科学会雑誌,,2023/05/31,,,,,有,accepted,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,即時性と観測精度を考慮した高精度衛星測位を用いた地すべり監視システムの提案,"瀬川 佳祐, 宇佐美 拓真, 曽根 卓朗, 木谷 友哉",情報処理学会 マルチメディア，分散，協調とモバイルシンポジウム2023論文集,,2023/06/28,,,520,528,無,published,無,
2023,研究論文（会議録、プロシーディングス）,国際,An asynchronous federated learning focusing on updated models for decentralized systems with a practical framework,"Yusuke Kanamori, Yusuke Yamasaki, Shintaro Hosoai, Hiroshi Nakamura and Hideki Takase","Proceedings 2023 IEEE 47th Annual Computers, Software, and Applications Conference(COMPSAC)",10.1109/COMPSAC57700.2023.00173,2023/06/30,,,1147,1154,有,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,mros2-esp32: ロボットソフトウェア軽量実行環境の無線通信対応の検討,細合 晋太郎，高瀬 英希,情報処理学会研究報告,,2023/07/07,2023-EMB-63,5,1,2,無,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,インメモリ計算向けオープンソースメモリコンパイラの検討,"久保 龍哉, 藤木 大地, 吉岡 健太郎, 高前田 伸也","情報処理学会研究会報告2023-ARC-254, No.18",,2023/08/02,,,,,無,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,連合学習におけるバックドアの発動遅延によるステルスな学習撹乱,"筒井 政成, 金子 竜也, 高前田 伸也","電子情報通信学会研究会報告, CPSY2023-26, Vol.123, No.145",,2023/08/02,,,,,無,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,ベイジアンネットワーク構造学習のための可塑性を備えたFPGAアクセラレータ,宮城 竜大，安戸 僚汰，佐野 健太郎，高瀬 英希,電子情報通信学会研究会報告,,2023/08/04,RECONF2023-15,,7,12,無,published,無,
2023,研究論文（会議録、プロシーディングス）,国際,A LiDAR Point Cloud Data Fusion from Connected Autonomous Vehicles to reduce Network Traffic Congestion at Server,"Haripriya Pasupuleti, Yoshinao Wada, Kenjiro Yamada, Takuro Sone, and Tomoya Kitani",Proceedings of International Workshop on Informatics,,2023/09/01,2023,,77,83,有,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,オープンソース仮想シミュレーション環境「箱庭」による強化学習への対応の検討,細合 晋太郎，周莎，高瀬 英希，福田 竜也，高田 光隆，久保 秋真，森 崇,第41回日本ロボット学会学術講演会予稿集,,2023/09/11,,,,,無,published,無,
2023,研究論文（会議録、プロシーディングス）,国際,High-Level Synthesis of Memory Systems for Decoupled Data Orchestration,Masayuki Usui and Shinya Takamaeda-Yamazaki,19th International Symposium on Applied Reconfigurable Computing (ARC2023),https://doi.org/10.1007/978-3-031-42921-7_1,2023/09/16,,,,,有,published,無,
2023,研究論文（会議録、プロシーディングス）,国際,A mobile recording system featuring high-precision time synchronization,"Takuro Sone, Takehiro Maeda, and Tomoya Kitani","The Evolving Scholar - BMD2023, 5th Edition",10.59490/65044cb10ab6b78be7b9aa84,2023/10/18,,,1,7,有,published,無,
2023,研究論文（会議録、プロシーディングス）,国際,Poison Egg: Scrambling Federated Learning with Delayed Backdoor Attack,"Masayoshi Tsutsui, Tatsuya Kaneko, and Shinya Takamaeda-Yamazaki",3rd International Conference on Ubiquitous Security 2023 (UbiSec-2023),https://doi.org/10.1007/978-981-97-1274-8_13,2023/11/01,,,,,有,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,複数移動無線端末を用いた下水管検査システムのための映像データと制御情報の間欠的マルチホップ伝送プロトコル〜実映像によるシミュレーション評価〜,西田明浩，Thanh V. Pham，石原 進,情報処理学会研究報告,,2023/11/16,2023-MBL-109,22,1,8,無,published,無,
2023,研究論文（学術雑誌）,国際,Impact of a Pothole on Road User Response in Terms of Driving Safety and Comfort for Pavement Maintenance Prioritization,"Lijalem Yallew, Gatot Virgianto, Marei Inagi, Kazuya Tomiyama",Journal of JSCE,10.2208/journalofjsce.23-21035,2023/11/20,11-2,23-21035,1,9,有,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,浮流型無線カメラによる下水管検査のための音ビーコンを基にした位置追跡手法 〜 インパルス応答測定に基づいた実現 〜,"丸山 健斗, Thanh V. Pham, 立蔵洋介, 石原 進",電子情報通信学会技術研究報告,,2023/11/21,123,"276, SeMI2023-43",11,16,無,published,無,
2023,研究論文（会議録、プロシーディングス）,国際,PeriCam: A Smartphone Application for Utility Hole Inspection,"S. Ishihara, H.Yamano, T. V.Pham and E.Hirai",2023 Fourteenth International Conference on Mobile Computing and Ubiquitous Network (ICMU),10.23919/ICMU58504.2023.10412251,2023/11/29,,,1,2,有,published,無,
2023,研究論文（学術雑誌）,国際,MITA: Multi-Input Adaptive Activation Function for Accurate Binary Neural Network Hardware,Peiqi Zhang and Shinya Takamaeda-Yamazaki,IEICE Transactions on Information and Systems,https://doi.org/10.1587/transinf.2023PAP0007,2023/12/01,106-D,12,,,有,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,隠れニューラルネットワークにおける整数学習手法の検討,"劉 世芾, 筒井政成, 金子 竜也, 高前田 伸也","電子情報通信学会研究会報告, CPSY2023-33Vol.123, No.293",,2023/12/05,,,,,無,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,ベイズ深層学習のドロップアウトパターン事前決定による推論高速化手法の検討,"菅 研吾, 平山侑樹, 金子 竜也, 高前田 伸也","電子情報通信学会研究会報告, CPSY2023-34Vol.123, No.293",,2023/12/05,,,,,無,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,箱庭技術へのmROS 2通信機能の統合によるリアルとバーチャルの融合体験を実現するシステムアーキテクチャの検討,森 崇，高瀬 英希，福田 竜也，高田 光隆，久保 秋真，細合 晋太郎,第24回計測自動制御学会システムインテグレーション部門講演会 講演集,,2023/12/13,,,3899,3904,無,published,無,
2023,研究論文（会議録、プロシーディングス）,国際,GeMP-BNN: High-Performance Sampling-Free Bayesian Neural Network Accelerator with Gaussian Error Moment Propagation,"Yuki Hirayama, Kengo Suga, and Shinya Takamaeda-Yamazaki",16th IEEE International Symposium on Embedded Multicore/Many-core Systems-on-Chip (MCSoC-2023),https://doi.ieeecomputersociety.org/10.1109/MCSoC60832.2023.00083,2023/12/16,,,,,有,published,無,
2023,研究論文（会議録、プロシーディングス）,国際,MAO: Memory Architecture Obfuscation,Sun Tanaka and Shinya Takamaeda-Yamazaki,16th IEEE International Symposium on Embedded Multicore/Many-core Systems-on-Chip (MCSoC-2023),https://doi.ieeecomputersociety.org/10.1109/MCSoC60832.2023.00042,2023/12/16,,,,,有,published,無,
2023,研究論文（学術雑誌）,国際,Cachet: Low-Overhead Integrity Verification on Metadata Cache in Secure Non-Volatile Memory Systems,Tatsuya Kubo and Shinya Takamaeda-Yamazaki,IEEE Micro,https://doi.ieeecomputersociety.org/10.1109/MM.2023.3335354,2024/01/01,44,1,,,有,published,無,
2023,研究論文（会議録、プロシーディングス）,国際,FS-Boost: Communication-Efficient Federated Subtree-based Gradient Boosting Decision Trees,"Kotaro Shimamura, and Shinya Takamaeda-Yamazaki",IEEE Consumer Communications and Networking Conference 2024(CCNC 2024),http://dx.doi.org/10.1109/CCNC51664.2024.10454880,2024/01/06,,,,,有,published,無,
2024,研究論文（会議録、プロシーディングス）,国際,SRT-based cooperative video transmission protocol for inspection of small diameter sewer pipes using multiple drifting wireless cameras,"Y. Shimizu, T. Pham and S. Ishihara",2024 International Conference on Information Networking (ICOIN),10.1109/ICOIN59985.2024.10572081,2024/01/17,,,17,22,有,published,無,
2023,研究論文（学術雑誌）,国際,Scalable Moment Propagation and Analysis of Variational Distributions for Practical Bayesian Deep Learning,"Yuki Hirayama, and Shinya Takamaeda-Yamazaki",IEEE Transactions on Neural Networks and Learning Systems,https://doi.org/10.1109/TNNLS.2024.3367363,2024/02/27,,,,,有,in press,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,小口径下水管検査のための複数台浮流無線カメラを用いた映像伝送プロトコルSVTP2023の性能評価,"清水裕斗, V.THANH PHAM, 石原 進",電子情報通信学会技術研究報告,,2024/02/29,123,"400, SeMI2023-78",42,47,無,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,モデルの特徴表現を活用するクラスタリング連合学習手法の提案,"金子 竜也, 高前田 伸也","電子情報通信学会研究会報告, IBISML2023-49, Vol.123, No.410",,2024/03/04,,,,,無,published,無,
2023,研究論文（会議録、プロシーディングス）,国際,Evaluation of an intermittent packet transmission method in UAVs-based sewer pipe inspection,"Akihiro Nishida, Thanh V. Pham, Susumu Ishihara",2024 IEEE International Conference on Pervasive Computing and Communications Workshops and other Affiliated Events (PerComWorkshops),10.1109/PerComWorkshops59983.2024.10502933,2024/03/11,,,672,677,有,published,無,
2023,研究論文（会議録、プロシーディングス）,国際,A 818-4094 TOPS/W Capacitor-Reconfigured CIM Macro for Unified Acceleration of CNNs and Transformers,Kentaro Yoshioka,IEEE International Solid-State Circuits Conference (ISSCC),https://doi.org/10.1109/ISSCC49657.2024.10454489,2024/03/13,,,,,有,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,非中央集権型連合学習システムの評価基盤の検討,中田 雅貴，細合 晋太郎，金子 竜也，高前田 伸也，中村 宏，高瀬 英希,情報処理学会研究報告,,2024/03/14,2024-ARC-256,35,1,6,無,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,異種センサを搭載した地上走行ロボットと飛行ロボットによる協調SLAM,田中 晴亮，細合 晋太郎，中村 宏，高瀬 英希,情報処理学会研究報告,,2024/03/14,2024-EMB-65,43,1,8,無,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,LiDARの受光センサへ同期信号を与え点群へ精密な時刻情報を付与する手法の提案と実験的評価,"和田 善尚, 曽根 卓朗，長谷川丈, 木谷 友哉",情報処理学会第86回全国大会論文集,,2024/03/17,,4ZA-08,1,2,無,published,無,
2023,研究論文（会議録、プロシーディングス）,国際,OSA-HCIM: On-The-Fly Saliency-Aware Hybrid SRAM CIM with Dynamic Precision Configuration,"Y.C. Chen, S.Ando, D. Fujiki, S. Takamaeda-Yamazaki, K. Yoshioka",2024 29th Asia and South Pacific Design Automation Conference (ASP-DAC),https://doi.org/10.1109/ASP-DAC58780.2024.10473966,2024/03/27,,,,,有,published,有,
2023,研究論文（学術雑誌）,国内,実道プロファイルを用いたBRIによる路面評価およびIRIとの波長応答特性比較,橘 奎伍，明田拓士，髙橋 清，富山 和也，萩原 亨,土木学会論文集,https://doi.org/10.2208/jscejj.23-21017,2024/03/28,79,21,23-21017,+9,有,published,有,
2023,研究論文（学術雑誌）,国内,車両乗員の生理反応に基づくストレス要因を考慮した路面変状評価,稲木 万玲，富山 和也，伊藤将光，佐藤 正和,土木学会論文集,https://doi.org/10.2208/jscejj.23-21019,2024/03/28,79,21,23-21019,+10,有,published,無,
2023,研究論文（学術雑誌）,国内,人の筋活動電位に基づくプロファイル勾配を考慮した歩行路面評価,佐々木 賢一郎，富山 和也，西海 隼人，森石 一志，山口 雄希,土木学会論文集,https://doi.org/10.2208/jscejj.23-21030,2024/03/28,79,21,23-21030,+12,有,published,無,
2022,研究論文（学術雑誌）,国際,Inference for Projection-Based Wasserstein Distances on Finite Spaces,"Ryo Okano, Masaaki Imaizumi",Statistica Sinica,,2024/04/01,,,657,677,有,published,無,
2024,研究論文（会議録、プロシーディングス）,国際,Ph.D. Project: Field-Programmable Computing for Bayesian Network Structure Learning,"Ryota Miyagi, Hideki Takase",Proceedings of 2024 IEEE 32nd Annual International Symposium on Field-Programmable Custom Computing Machines (FCCM),10.1109/FCCM60383.2024.00049,2024/05/04,,,229,230,有,published,無,
2024,研究論文（研究会、シンポジウム資料等）,国内,箱庭技術を活用したPX4向けドローンシミュレータの検討,森 崇，平鍋 健児，高田 光隆，久保 秋真，細合 晋太郎，高瀬 英希,ロボティクス・メカトロニクス 講演会 2024 in Utsunomiya 講演集,,2024/05/30,1P2-B10,,1,4,無,published,無,
2024,研究論文（研究会、シンポジウム資料等）,国内,物理ロボットとシミュレーションモデルによる経路探索のための深層強化学習手法,高木 柚李，細合 晋太郎，森 崇，中村 宏，高瀬 英希,情報処理学会研究報告,,2024/06/03,2024-ARC-257,12,1,8,無,published,無,
2024,研究論文（研究会、シンポジウム資料等）,国内,A Study of Deep Reinforcement Learning Based Resource Allocation Strategy in Multi-access Edge Computing Environment,"Huilin Li, Hiroshi Nakamura, Hideki Takase",IPSJ SIGTechnical Reports,,2024/06/03,2024-ARC-257,3,1,8,無,published,無,
2024,研究論文（会議録、プロシーディングス）,国際,Contribution of Dual-tree Complex Wavelet to Three-dimensional Analysis of Pavement Surfaces,"Kazuya Tomiyama, Yuki Yamaguchi, and Kazushi Moriishi",Proceedings of the 40th International Symposium on Automation and Robotics in Construction (ISARC 2023),https://doi.org/10.22260/ISARC2023/0010,2024/06/03,,,56,62,有,published,無,
2023,学位論文（博士）,国内,自動運転時代に向けた高精度衛星測位技術による道路地図情報の拡充と高度利用に関する研究,外谷新,静岡大学 博士学位論文,https://doi.org/10.14945/0002000653,2024/06/17,,,,,有,published,無,
2024,研究論文（学術雑誌）,国際,A Scalable Accelerator for Local Score Computation of Structure Learning in Bayesian Networks,"Ryota Miyagi, Ryota Yasudo, Kentaro Sano, Hideki Takase",ACM Transactions on Reconfigurable Technology and Systems,10.1145/3674842,2024/07/02,,,,,有,in press,無,
