成果発生年度,発表区分,国内/国際,国際共著,タイトル,著者,会議名,DOI,発表年月日,掲載巻,掲載号,掲載開始ページ,掲載終了ページ,論文ステータス区分
2023,口頭発表,国内,有,非対称リンクをもつ高次元一般化線形モデルの統計的推論,"澤谷一磨, 植松良公, 今泉 允聡",2024年度統計関連学会連合大会,,2023/09/04,,,,,published
2023,口頭発表,国内,無,非同期非中央集権型連合学習におけるモデルパラメータ更新戦略の動的な切り替え手法の検討,小野 悠太，細合 晋太郎，中村 宏，高瀬 英希,RIXX Workshop 2023,,2023/08/29,,,,,
2023,口頭発表,国内,無,深層学習の原理に迫る ──数学の挑戦──,今泉 允聡,高校生と大学生のための金曜特別講座,,2023/05/26,,,,,published
2023,口頭発表,国内,無,深層学習と過剰パラメータの理論,今泉 允聡,東京大学大学院 数理科学研究科／情報理工学系研究科 数値解析セミナー,,2023/05/23,,,,,published
2023,口頭発表,国内,無,深層学習と過剰パラメータの理論,今泉 允聡,創発的研究支援事業 融合の場,,2023/05/20,,,,,published
2023,口頭発表,国内,無,深層学習の原理に迫る -数学の挑戦-,今泉 允聡,京都大学理学部第22回MACSコロキウム,,2023/04/28,,,,,published
2022,口頭発表,国内,無,フィルターが小さい深層CNNの最適近似レート,佐藤 佑真、今泉 允聡,情報論的学習理論と機械学習研究会(IBISML),,2023/03/02,,,,,
2022,口頭発表,国内,無,Now and Next about mROS 2,高瀬 英希，細合 晋太郎，檜原 陽一郎， 田中 晴亮(東京大学)，森田正二,ROSCon JP 2022,,2022/10/19,,,,,
2022,口頭発表,国内,無,Benign-Overfitting of Overparameterized Bayesian Linear Regression,若山 智哉、今泉 允聡,統計関連学会連合大会,,2022/09/05,,,,,
2022,口頭発表,国内,無,補正付敵対的訓練による深層ニューラルネットワーク推定量のSupノルム収束,今泉 允聡,統計関連学会連合大会,,2022/09/05,,,,,
2022,口頭発表,国内,無,多変量ガウス分布間回帰,岡野 遼、今泉 允聡,統計関連学会連合大会,,2022/09/05,,,,,
2022,口頭発表,国内,無,操作変数による非スパース高次元な線形回帰モデルの良性過適合,津田 俊樹、今泉 允聡,統計関連学会連合大会,,2022/09/05,,,,,
2022,口頭発表,国内,無,High-Dimensional Asymptotics of Semiparametric Generalized LinearModels via Approximate Message Passing,澤谷 一磨、植松 良公、今泉 允聡,統計関連学会連合大会,,2022/09/05,,,,,
2022,口頭発表,国内,無,深層学習の原理記述に向けた構造汎化理論スキームの開発,今泉 允聡,JST創発的研究支援事業「融合の場」,,2022/05/20,,,,,
2021,口頭発表,国内,無,Gradient Descent Algorithm with Path Kernel-based Machine,"西澤 渉, 今泉 允聡",IBIS2021,,2021/11/11,,,,,
2021,口頭発表,国内,無,Nonparametric Invertible Regression Between Closed Hypercubes,"奥野 彰文, 今泉 允聡",IBIS2021,,2021/11/10,,,,,
