成果発生年度,発表区分,国内/国際,国際共著,タイトル,著者,会議名,DOI,発表年月日,掲載巻,掲載号,掲載開始ページ,掲載終了ページ,論文ステータス区分
2022,招待講演,国内,無,mROS 2: ロボットソフトウェアの組込みデバイス向け軽量実行環境,高瀬 英希,TOPPERSカンファレンス2022,,2022/06/10,,,,,
2021,招待講演,国内,無,多様性と環境変化に寄り添う分散機械学習基盤の実現に向けて,高前田 伸也,電子情報通信学会情報論的学習理論と機械学習研究会 2022-03-IBISML,,2022/03/08,,,,,
2021,招待講演,国内,無,メカニズムとの学際的統合による新しい分散学習理論基盤の構築,今泉 允聡,IBISML,,2022/03/08,,,,,
2021,招待講演,国内,無,機械学習に適したハードウェア，ハードウェアに適した機械学習アルゴリズム,高前田 伸也,情報処理学会第84回全国大会 イベント企画「知能と計算とアーキテクチャの新しい関係を目指して」,,2022/03/04,,,,,
2021,招待講演,国内,無,AIの原理を解き明かす新理論,今泉 允聡,JST理事長記者会見,,2021/12/15,,,,,
2021,招待講演,国内,無,深層学習の原理を明らかにする理論の試み,今泉 允聡,顕微鏡計測インフォマティックス部会,,2021/12/10,,,,,
2021,招待講演,国内,無,Deep Neural Networks Learn Non-Smooth Functions Effectively,今泉 允聡,細谷賞セミナー,,2021/11/04,,,,,
2021,招待講演,国内,無,高精度衛星測位を応用した位置情報サービスの社会実装事例報告,木谷 友哉,日本航海学会GPS研究会,,2021/10/23,,,,,
2021,招待講演,国内,無,機械学習の数理,今泉 允聡,数学カフェ,,2021/10/21,,,,,
2021,招待講演,国内,無,深層学習の原理を明らかにする理論の試み,今泉 允聡,中央大学理工学研究所特別講演会,,2021/10/11,,,,,
