成果発生年度,論文種別,国内/国際,タイトル,著者,掲載誌,DOI,発行年月日,掲載巻,掲載号,掲載開始ページ,掲載終了ページ,査読,論文ステータス区分,国際共著,備考
2023,研究論文（研究会、シンポジウム資料等）,国内,高精度衛星測位技術を利用したプローブデータの将来性に関する考察,"外谷 新, 木谷 友哉",情報処理学会研究報告,,2023/05/11,2023-ITS-93,21,1,7,無,published,無,
2022,研究論文（研究会、シンポジウム資料等）,国内,クラウド連携を対象としたアーキテクチャ中立なROSランタイムの検討,"柿本 翔大, 松原 克弥, 高瀬 英希",情報処理学会研究報告,,2023/03/16,2023-EMB-62,,,,無,published,無,
2022,研究論文（研究会、シンポジウム資料等）,国内,非中央集権型向けのモデル更新履歴を用いた連合学習手法および実用的なフレームワークの設計,"金森 勇介, 山﨑 雄輔, 細合 晋太郎, 中村 宏, 高瀬 英希",情報処理学会研究報告,,2023/03/08,2023-IOT-60,,,,無,published,無,
2022,研究論文（研究会、シンポジウム資料等）,国内,定数係数畳み込み演算を対象とした論理圧縮アルゴリズムの検討,"空閑 康太, 高前田 伸也",電子情報通信学会研究会報告VLD2022-97,,2023/02/22,122,402,125,130,無,published,無,
2022,研究論文（研究会、シンポジウム資料等）,国内,顔認証タスクを事例とした連合学習システムの実機実装,"山﨑 雄輔, 高瀬 英希",情報処理学会研究報告,2022-EMB-61,2022/11/10,2022-EMB-61,,,,無,published,無,
2022,研究論文（研究会、シンポジウム資料等）,国内,回帰木に基づく畳み込み演算の直接近似手法,"空閑 康太, 高前田 伸也",電子情報通信学会研究会報告CPSY2022-26,,2022/10/04,,,1,5,無,published,無,情報処理学会システム・アーキテクチャ研究会若手奨励賞受賞
2022,研究論文（研究会、シンポジウム資料等）,国内,動画像を入力とした深度推定のHW/SW協調設計によるFPGAベースの高速化手法,"橋本 信歩, 高前田 伸也",情報処理学会研究会報告2022-ARC-250,,2022/10/04,,,1,11,無,published,無,
2022,研究論文（研究会、シンポジウム資料等）,国内,hakoniwa-ros2sim: 仮想環境を活用した ROS 2 アプリケーションのシミュレーション手法,"高瀬 英希, 細合 晋太郎, 福田 竜也, 高田 光隆, 久保 秋真, 森 崇",第40回日本ロボット学会学術講演会予稿集,,2022/09/05,,,,,無,published,無,
2022,研究論文（研究会、シンポジウム資料等）,国内,ロボットソフトウェア軽量実行環境mROS2のPOSIX対応に向けた実装および評価,"高瀬 英希, 田中 晴亮, 細合 晋太郎",第40回日本ロボット学会学術講演会予稿集,,2022/09/05,,,,,無,published,無,
2022,研究論文（研究会、シンポジウム資料等）,国内,高精度衛星測位を用いた地すべり監視システムの実現可能性の初期検証,"瀬川 佳祐, 宇佐美 拓真, 曽根 卓朗, 和田 善尚, 木谷 友哉","土木情報学シンポジウム 講演集,",,2022/09/01,47,,,,無,published,無,
2022,研究論文（研究会、シンポジウム資料等）,国内,メッセージフェリー手法を用いた現地観測データ収集システムの設計とその初期検証,"宇佐美 拓真, 宮田 秀介, 井上公, 瀬川 佳祐, 曽根 卓朗, 和田 善尚, 杉田 暁, 木谷 友哉",土木情報学シンポジウム 講演集,,2022/09/01,47,,,,無,published,無,
2022,研究論文（研究会、シンポジウム資料等）,国内,A Modeling of Road-Side Unit(RSU) Deployment forEfficient WiFi Offloading inUrban Areas,"NadaMohammedNour, Tomoya Kitani","情報処理学会 マルチメディア, 分散, 協調とモバイル（DICOMO2022）シンポジウム論文集",,2022/07/06,,,622,626,無,published,無,
2022,研究論文（研究会、シンポジウム資料等）,国内,ロボットソフトウェア軽量実行環境mROS 2のPOSIX対応の検討,"細合 晋太郎, 田中 晴亮, 高瀬 英希",情報処理学会研究報告,,2022/07/01,2022-EMB-60,,,,無,published,無,
2022,研究論文（研究会、シンポジウム資料等）,国内,組込み向けROS 2ノード実行環境の定量的評価,"高瀬 英希, 檜原 陽一郎",ロボティクス・メカトロニクス講演会2022 講演論文集,,2022/06/01,,,,,無,published,無,
2021,研究論文（研究会、シンポジウム資料等）,国内,共分散行列近似による効率的な決定論的ベイジアン深層学習,"平山 侑樹, 高前田 伸也",人工知能学会 第119回人工知能基本問題研究会,,2022/03/23,,,,,無,published,無,
2021,研究論文（研究会、シンポジウム資料等）,国内,ElixirによるROS 2クライアントライブラリの任意型メッセージの通信手法,"佐藤 弘之, 武田 大輝, 菊地 俊介, 中村 宏, 高瀬 英希",情報処理学会研究報告,,2022/03/11,2022-ARC-248,50,1,8,無,published,無,
2021,研究論文（研究会、シンポジウム資料等）,国内,機械学習ベースの動画像処理における近似計算手法の検討,"橋本 信歩, 高前田 伸也",電子情報通信学会研究会報告,,2022/03/11,CPSY2021-59,,85,90,無,published,無,
2021,研究論文（研究会、シンポジウム資料等）,国内,ROS 2ノード軽量実行環境mROS 2における任意型メッセージの通信処理方式,"檜原 陽一郎, 中村 宏, 高瀬 英希",情報処理学会研究報告,,2022/03/10,2022-EMB-59,38,1,8,無,published,無,
2021,研究論文（研究会、シンポジウム資料等）,国内,mROS 2：組込みデバイス向けのROS 2ノード軽量実行環境,"高瀬 英希, 祐源英俊",情報処理学会研究報告,,2022/03/10,2020-EMB-59,37,1,8,無,published,無,
2021,研究論文（研究会、シンポジウム資料等）,国内,連合強化学習における蒸留手法の検討,"劉 世芾, 高前田 伸也",電子情報通信学会研究会報告,,2022/03/10,CPSY2021-52,,44,49,無,published,無,
2021,研究論文（研究会、シンポジウム資料等）,国内,隠れニューラルネットワークに基づく連合学習の通信量削減手法,"筒井 政成, 高前田 伸也",電子情報通信学会研究会報告,,2022/03/10,CPSY2021-50,,32,37,無,published,無,
2021,研究論文（研究会、シンポジウム資料等）,国内,ADASでの実装可能性を考慮した赤外線カメラと赤外線マーカによる二輪車検出に関する検証,"井上 裕貴, 北村浩章, 木谷 友哉",情報処理学会研究報告,,2021/11/30,2021-ITS-87,11,1,8,無,published,無,
2021,研究論文（研究会、シンポジウム資料等）,国内,物体検出手法YOLOで用いる学習データセットのラベル付与方法の変化による自動二輪車検出精度向上の検証,"中島 健介, 佐久間 尚紀, 中安 淳也, 木谷 友哉",情報処理学会研究報告,,2021/11/30,2021-ITS-87,12,1,10,無,published,無,
2021,研究論文（研究会、シンポジウム資料等）,国内,高精度衛星測位を用いた地すべりブロックの長期監視システムの設計とその初期検証結果,"瀬川 佳祐, 宇佐美 拓真, 曽根 卓朗, 木谷 友哉",情報処理学会研究報告,,2021/11/30,2021-MBL-101,30,1,9,無,published,無,
