成果発生年度,論文種別,国内/国際,タイトル,著者,掲載誌,DOI,発行年月日,掲載巻,掲載号,掲載開始ページ,掲載終了ページ,査読,論文ステータス区分,国際共著,備考
2022,研究論文（会議録、プロシーディングス）,国際,Elastic Sample Filter: AnFPGA-based Accelerator forBayesian Network StructureLearning,"Ryota Miyagi,Ryota Yasudo,Kentaro Sano,Hideki Takase",Proceedings of2022 IEEEInternationalConference onField-ProgrammableTechnology (FPT),10.1109/ICFPT56656.2022.9974196,2022/12/15,,,,,有,published,無,
2022,研究論文（学術雑誌）,国際,Instrumental VariableRegression via KernelMaximum Moment Loss,"Rui Zhang,MasaakiImaizumi,BernardSchölkopf,KrikamolMuandet",Journal of CausalInference,10.1515/jci-2022-0073,2023/01/10,11,1,,,有,published,有,
2022,研究論文（会議録、プロシーディングス）,国際,Unified Perspective onProbability Divergence viaMaximum Likelihood DensityRatio Estimation: BridgingKL-Divergence and IntegralProbability Metrics,"Masahiro Kato,MasaakiImaizumi,KentaroMinami",PMLR: ArtificialIntelligence andStatistics,,2023/02/06,,,,,有,published,無,
2022,研究論文（研究会、シンポジウム資料等）,国内,定数係数畳み込み演算を対象とした論理圧縮アルゴリズムの検討,"空閑 康太, 高前田 伸也",電子情報通信学会研究会報告VLD2022-97,,2023/02/22,122,402,125,130,無,published,無,
2022,研究論文（会議録、プロシーディングス）,国際,WIP: Practical RemovalAttacks on LiDAR-basedObject Detection inAutonomous Driving,"T. Sato,Y.Hayakawa,R.Suzuki,Y.Shiiki,K.Yoshioka, Q.Chen",VehicleSec,,2023/02/27,,,,,有,published,有,
2022,研究論文（研究会、シンポジウム資料等）,国内,非中央集権型向けのモデル更新履歴を用いた連合学習手法および実用的なフレームワークの設計,"金森 勇介, 山(cid:8443)雄輔, 細合 晋太郎, 中村 宏, 高瀬 英希",情報処理学会研究報告,,2023/03/08,2023-IOT-60,,,,無,published,無,
2022,研究論文（研究会、シンポジウム資料等）,国内,クラウド連携を対象としたアーキテクチャ中立なROSランタイムの検討,"柿本 翔大, 松原克弥, 高瀬 英希",情報処理学会研究報告,,2023/03/16,2023-EMB-62,,,,無,published,無,
2022,研究論文（会議録、プロシーディングス）,国内,関数型言語ElixirのROS 2クライアントライブラリRclexのIoTプラットフォームNervesへの対応,"細合 晋太郎, 高瀬 英希, 出分卓矢, 菊地 俊介",情報処理学会研究報告,,2023/03/16,2022-EMB-62,,,,無,published,無,
2022,研究論文（会議録、プロシーディングス）,国際,F2MKD: Fog-enabledFederated Learning withMutual Knowledge Distillation,"YusukeYamasaki,Hideki Takase",Proceedings of2023 IEEE 20thConsumerCommunications& NetworkingConference(CCNC),10.1109/CCNC51644.2023.10059910,2023/03/17,,,,,有,published,無,
2023,研究論文（会議録、プロシーディングス）,国際,Cachet: A High-PerformanceJoint-Subtree IntegrityVerification for Secure Non-Volatile Memory,Tatsuya Kuboand ShinyaTakamaeda-Yamazaki,IEEE Symposiumon Low-Powerand High-SpeedChips andSystems (COOLChips 26),https://doi.org/10.1109/COOLCHIPS57690.2023.10122117,2023/04/19,,,,,有,published,無,
2023,研究論文（会議録、プロシーディングス）,国際,Poster: Multi UVs-BasedNarrow Sewer InspectionSystem - UVs FormationControl and Video Streaming,"S. Ishihara, Y.Chikamoto, Y.Tsutsumi andT. V. Pham",2023 IEEEVehicularNetworkingConference (VNC),10.1109/VNC57357.2023.10136331,2023/04/26,,,173,174,有,published,無,
2023,研究論文（学術雑誌）,国内,Towards Reliable LiDARs forAutonomous Driving: AReview of High-Resolutionand Security Features,KentaroYoshioka,The Review ofLaser Engineering,,2023/05/10,,,,,有,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,高精度衛星測位技術を利用したプローブデータの将来性に関する考察,"外谷 新, 木谷友哉",情報処理学会研究報告,,2023/05/11,2023-ITS-93,21,1,7,無,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,浮流型無線カメラによる下水管検査のための音ビーコンを基にした位置追跡手法 〜 相互相関法を用いた実現 〜,"丸山健斗,Thanh V.Pham, 石原進",電子情報通信学会技術研究報告,,2023/05/18,123,"31,SeMI2023-3",9,14,無,published,無,
2023,研究論文（学術雑誌）,国内,深層学習と民生用 3D センサを用いた低コスト高精度肘関節可動域自動計測システムの試み,"鈴木諒, 吉岡健太郎, 速川湧気,中原龍一, 那須義久, 西田圭一郎, 尾崎敏文",中国・四国整形外科学会雑誌,,2023/05/31,,,,,有,accepted,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,即時性と観測精度を考慮した高精度衛星測位を用いた地すべり監視システムの提案,"瀬川 佳祐, 宇佐美 拓真, 曽根卓朗, 木谷 友哉",情報処理学会 マルチメディア，分散，協調とモバイルシンポジウム2023論文集,,2023/06/28,,,520,528,無,published,無,
2023,研究論文（会議録、プロシーディングス）,国際,An asynchronous federatedlearning focusing on updatedmodels for decentralizedsystems with a practicalframework,"YusukeKanamori,YusukeYamasaki,ShintaroHosoai, HiroshiNakamura andHideki Takase","Proceedings 2023IEEE 47th AnnualComputers,Software, andApplicationsConference(COMPSAC)",10.1109/COMPSAC57700.2023.00173,2023/06/30,,,1147,1154,有,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,mros2-esp32: ロボットソフトウェア軽量実行環境の無線通信対応の検討,細合晋太郎，高瀬英希,情報処理学会研究報告,,2023/07/07,2023-EMB-63,5,1,2,無,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,インメモリ計算向けオープンソースメモリコンパイラの検討,"久保 龍哉, 藤木大地, 吉岡 健太郎, 高前田 伸也","情報処理学会研究会報告2023-ARC-254, No.18",,2023/08/02,,,,,無,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,連合学習におけるバックドアの発動遅延によるステルスな学習撹乱,"筒井 政成, 金子竜也, 高前田 伸也","電子情報通信学会研究会報告,CPSY2023-26,Vol.123, No.145",,2023/08/02,,,,,無,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,ベイジアンネットワーク構造学習のための可塑性を備えたFPGAアクセラレータ,宮城竜大，安戸僚汰，佐野健太郎，高瀬英希,電子情報通信学会研究会報告,,2023/08/04,RECONF2023-15,,7,12,無,published,無,
2023,研究論文（会議録、プロシーディングス）,国際,A LiDAR Point Cloud DataFusion from ConnectedAutonomous Vehicles toreduce Network TrafficCongestion at Server,"HaripriyaPasupuleti,YoshinaoWada, KenjiroYamada,Takuro Sone,and TomoyaKitani",Proceedings ofInternationalWorkshop onInformatics,,2023/09/01,2023,,77,83,有,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,オープンソース仮想シミュレーション環境「箱庭」による強化学習への対応の検討,細合 晋太郎，周莎，高瀬英希，福田竜也，高田光隆，久保秋真，森崇,第41回日本ロボット学会学術講演会予稿集,,2023/09/11,,,,,無,published,無,
2023,研究論文（会議録、プロシーディングス）,国際,High-Level Synthesis ofMemory Systems forDecoupled DataOrchestration,Masayuki Usuiand ShinyaTakamaeda-Yamazaki,19th InternationalSymposium onAppliedReconfigurableComputing (ARC2023),https://doi.org/10.1007/978-3-031-42921-7_1,2023/09/16,,,,,有,published,無,
2023,研究論文（会議録、プロシーディングス）,国際,A mobile recording systemfeaturing high-precision timesynchronization,"Takuro Sone,TakehiroMaeda, andTomoya Kitani","The EvolvingScholar - BMD2023, 5th Edition",10.59490/65044cb10ab6b78be7b9aa84,2023/10/18,,,1,7,有,published,無,
2023,研究論文（会議録、プロシーディングス）,国際,Poison Egg: ScramblingFederated Learning withDelayed Backdoor Attack,"MasayoshiTsutsui,TatsuyaKaneko, andShinyaTakamaeda-Yamazaki",3rd InternationalConference onUbiquitousSecurity 2023(UbiSec-2023),https://doi.org/10.1007/978-981-97-1274-8_13,2023/11/01,,,,,有,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,複数移動無線端末を用いた下水管検査システムのための映像データと制御情報の間欠的マルチホップ伝送プロトコル〜実映像によるシミュレーション評価〜,西田明浩，Thanh V.Pham，石原進,情報処理学会研究報告,,2023/11/16,2023-MBL-109,22,1,8,無,published,無,
2023,研究論文（学術雑誌）,国際,Impact of a Pothole on RoadUser Response in Terms ofDriving Safety and Comfortfor Pavement MaintenancePrioritization,"Lijalem Yallew,Gatot Virgianto,Marei Inagi,KazuyaTomiyama",Journal of JSCE,10.2208/journalofjsce.23-21035,2023/11/20,11-2,23-21035,1,9,有,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,浮流型無線カメラによる下水管検査のための音ビーコンを基にした位置追跡手法 〜 インパルス応答測定に基づいた実現 〜,"丸山健斗,Thanh V.Pham, 立蔵洋介, 石原進",電子情報通信学会技術研究報告,,2023/11/21,123,"276,SeMI2023-43",11,16,無,published,無,
2023,研究論文（会議録、プロシーディングス）,国際,PeriCam: A SmartphoneApplication for Utility HoleInspection,"S. Ishihara, H.Yamano, T. V.Pham and E.Hirai",2023 FourteenthInternationalConference onMobile Computingand UbiquitousNetwork (ICMU),10.23919/ICMU58504.2023.10412251,2023/11/29,,,1,2,有,published,無,
2023,研究論文（学術雑誌）,国際,MITA: Multi-Input AdaptiveActivation Function forAccurate Binary NeuralNetwork Hardware,Peiqi Zhangand ShinyaTakamaeda-Yamazaki,IEICETransactions onInformation andSystems,https://doi.org/10.1587/transinf.2023PAP0007,2023/12/01,106-D,12,,,有,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,隠れニューラルネットワークにおける整数学習手法の検討,"劉 世芾, 筒井政成, 金子 竜也, 高前田 伸也","電子情報通信学会研究会報告,CPSY2023-33Vol.123, No.293",,2023/12/05,,,,,無,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,ベイズ深層学習のドロップアウトパターン事前決定による推論高速化手法の検討,"菅 研吾, 平山侑樹, 金子 竜也, 高前田 伸也","電子情報通信学会研究会報告,CPSY2023-34Vol.123, No.293",,2023/12/05,,,,,無,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,箱庭技術へのmROS 2通信機能の統合によるリアルとバーチャルの融合体験を実現するシステムアーキテクチャの検討,森崇，高瀬英希，福田竜也，高田光隆，久保秋真，細合晋太郎,第24回計測自動制御学会システムインテグレーション部門講演会 講演集,,2023/12/13,,,3899,3904,無,published,無,
2023,研究論文（会議録、プロシーディングス）,国際,GeMP-BNN: High-Performance Sampling-FreeBayesian Neural NetworkAccelerator with GaussianError Moment Propagation,"Yuki Hirayama,Kengo Suga,and ShinyaTakamaeda-Yamazaki",16th IEEEInternationalSymposium onEmbeddedMulticore/Many-core Systems-on-Chip (MCSoC-2023),https://doi.ieeecomputersociety.org/10.1109/MCSoC60832.2023.00083,2023/12/16,,,,,有,published,無,
2023,研究論文（会議録、プロシーディングス）,国際,MAO: Memory ArchitectureObfuscation,Sun Tanakaand ShinyaTakamaeda-Yamazaki,16th IEEEInternationalSymposium onEmbeddedMulticore/Many-core Systems-on-Chip (MCSoC-2023),https://doi.ieeecomputersociety.org/10.1109/MCSoC60832.2023.00042,2023/12/16,,,,,有,published,無,
2023,研究論文（学術雑誌）,国際,Cachet: Low-OverheadIntegrity Verification onMetadata Cache in SecureNon-Volatile MemorySystems,Tatsuya Kuboand ShinyaTakamaeda-Yamazaki,IEEE Micro,https://doi.ieeecomputersociety.org/10.1109/MM.2023.3335354,2024/01/01,44,1,,,有,published,無,
2023,研究論文（会議録、プロシーディングス）,国際,FS-Boost: Communication-Efficient Federated Subtree-based Gradient BoostingDecision Trees,"KotaroShimamura,and ShinyaTakamaeda-Yamazaki",IEEE ConsumerCommunicationsand NetworkingConference 2024(CCNC 2024),http://dx.doi.org/10.1109/CCNC51664.2024.10454880,2024/01/06,,,,,有,published,無,
2024,研究論文（会議録、プロシーディングス）,国際,SRT-based cooperative videotransmission protocol forinspection of small diametersewer pipes using multipledrifting wireless cameras,"Y. Shimizu, T.Pham and S.Ishihara",2024 InternationalConference onInformationNetworking(ICOIN),10.1109/ICOIN59985.2024.10572081,2024/01/17,,,17,22,有,published,無,
2023,研究論文（学術雑誌）,国際,Scalable MomentPropagation and Analysis ofVariational Distributions forPractical Bayesian DeepLearning,"Yuki Hirayama,and ShinyaTakamaeda-Yamazaki",IEEETransactions onNeural Networksand LearningSystems,https://doi.org/10.1109/TNNLS.2024.3367363,2024/02/27,,,,,有,in press,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,小口径下水管検査のための複数台浮流無線カメラを用いた映像伝送プロトコルSVTP2023の性能評価,"清水裕斗, V.THANH PHAM,石原進",電子情報通信学会技術研究報告,,2024/02/29,123,"400,SeMI2023-78",42,47,無,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,モデルの特徴表現を活用するクラスタリング連合学習手法の提案,"金子 竜也, 高前田 伸也","電子情報通信学会研究会報告,IBISML2023-49,Vol.123, No.410",,2024/03/04,,,,,無,published,無,
2023,研究論文（会議録、プロシーディングス）,国際,Evaluation of an intermittentpacket transmission methodin UAVs-based sewer pipeinspection,"Akihiro Nishida,Thanh V.Pham, SusumuIshihara",2024 IEEEInternationalConference onPervasiveComputing andCommunicationsWorkshops andother AffiliatedEvents (PerComWorkshops),10.1109/PerComWorkshops59983.2024.10502933,2024/03/11,,,672,677,有,published,無,
2023,研究論文（会議録、プロシーディングス）,国際,A 818-4094 TOPS/WCapacitor-Reconfigured CIMMacro for UnifiedAcceleration of CNNs andTransformers,KentaroYoshioka,IEEE InternationalSolid-StateCircuitsConference(ISSCC),https://doi.org/10.1109/ISSCC49657.2024.10454489,2024/03/13,,,,,有,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,非中央集権型連合学習システムの評価基盤の検討,中田雅貴，細合晋太郎，金子竜也，高前田伸也，中村宏，高瀬英希,情報処理学会研究報告,,2024/03/14,2024-ARC-256,35,1,6,無,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,異種センサを搭載した地上走行ロボットと飛行ロボットによる協調SLAM,田中晴亮，細合晋太郎，中村宏，高瀬英希,情報処理学会研究報告,,2024/03/14,2024-EMB-65,43,1,8,無,published,無,
2023,研究論文（研究会、シンポジウム資料等）,国内,LiDARの受光センサへ同期信号を与え点群へ精密な時刻情報を付与する手法の提案と実験的評価,"和田 善尚, 曽根卓朗，長谷川丈, 木谷 友哉",情報処理学会第86回全国大会論文集,,2024/03/17,,4ZA-08,1,2,無,published,無,
2023,研究論文（会議録、プロシーディングス）,国際,OSA-HCIM: On-The-FlySaliency-Aware HybridSRAM CIM with DynamicPrecision Configuration,"Y.C. Chen, S.Ando, D. Fujiki,S. Takamaeda-Yamazaki, K.Yoshioka",2024 29th Asiaand South PacificDesignAutomationConference (ASP-DAC),https://doi.org/10.1109/ASP-DAC58780.2024.10473966,2024/03/27,,,,,有,published,有,
2023,研究論文（学術雑誌）,国内,実道プロファイルを用いたBRIによる路面評価およびIRIとの波長応答特性比較,橘 奎伍，明田拓士，髙橋 清，富山 和也，萩原 亨,土木学会論文集,https://doi.org/10.2208/jscejj.23-21017,2024/03/28,79,21,23-21017,+9,有,published,有,
2023,研究論文（学術雑誌）,国内,車両乗員の生理反応に基づくストレス要因を考慮した路面変状評価,稲木 万玲，富山 和也，伊藤将光，佐藤 正和,土木学会論文集,https://doi.org/10.2208/jscejj.23-21019,2024/03/28,79,21,23-21019,+10,有,published,無,
2023,研究論文（学術雑誌）,国内,人の筋活動電位に基づくプロファイル勾配を考慮した歩行路面評価,佐々木 賢一郎，富山 和也，西海 隼人，森石 一志，山口 雄希,土木学会論文集,https://doi.org/10.2208/jscejj.23-21030,2024/03/28,79,21,23-21030,+12,有,published,無,
2022,研究論文（学術雑誌）,国際,Inference for Projection-Based WassersteinDistances on Finite Spaces,"Ryo Okano,MasaakiImaizumi",Statistica Sinica,,2024/04/01,,,657,677,有,published,無,
2024,研究論文（会議録、プロシーディングス）,国際,Ph.D. Project: Field-Programmable Computing forBayesian Network StructureLearning,"Ryota Miyagi,Hideki Takase",Proceedings of2024 IEEE 32ndAnnualInternationalSymposium onField-ProgrammableCustomComputingMachines (FCCM),10.1109/FCCM60383.2024.00049,2024/05/04,,,229,230,有,published,無,
2024,研究論文（研究会、シンポジウム資料等）,国内,箱庭技術を活用したPX4向けドローンシミュレータの検討,森崇，平鍋健児，高田光隆，久保秋真，細合晋太郎，高瀬英希,ロボティクス・メカトロニクス 講演会 2024 inUtsunomiya 講演集,,2024/05/30,1P2-B10,,1,4,無,published,無,
2024,研究論文（研究会、シンポジウム資料等）,国内,物理ロボットとシミュレーションモデルによる経路探索のための深層強化学習手法,高木 柚李，細合 晋太郎，森崇，中村 宏，高瀬 英希,情報処理学会研究報告,,2024/06/03,2024-ARC-257,12,1,8,無,published,無,
2024,研究論文（研究会、シンポジウム資料等）,国内,A Study of DeepReinforcement LearningBased Resource AllocationStrategy in Multi-access EdgeComputing Environment,"Huilin Li,HiroshiNakamura,Hideki Takase",IPSJ SIGTechnical Reports,,2024/06/03,2024-ARC-257,3,1,8,無,published,無,
2024,研究論文（会議録、プロシーディングス）,国際,Contribution of Dual-treeComplex Wavelet to Three-dimensional Analysis ofPavement Surfaces,"KazuyaTomiyama,YukiYamaguchi,and KazushiMoriishi",Proceedings ofthe 40thInternationalSymposium onAutomation andRobotics inConstruction(ISARC 2023),https://doi.org/10.22260/ISARC2023/0010,2024/06/03,,,56,62,有,published,無,
2023,学位論文（博士）,国内,自動運転時代に向けた高精度衛星測位技術による道路地図情報の拡充と高度利用に関する研究,外谷新,静岡大学 博士学位論文,https://doi.org/10.14945/0002000653,2024/06/17,,,,,有,published,無,
2024,研究論文（学術雑誌）,国際,A Scalable Accelerator forLocal Score Computation ofStructure Learning inBayesian Networks,"Ryota Miyagi,Ryota Yasudo,Kentaro Sano,Hideki Takase",ACM Transactionson ReconfigurableTechnology andSystems,10.1145/3674842,2024/07/02,,,,,有,in press,無,
