成果発生年度,発表区分,国内/国際,国際共著,タイトル,著者,会議名,DOI,発表年月日,掲載巻,掲載号,掲載開始ページ,掲載終了ページ,論文ステータス区分
2022,口頭発表,国際,無,"Shogo Nakakita, Masaaki Imaizumi",Benign Overfitting inOverparameterized TimeSeries Models,Workshop on the Theory ofOverparameterized MachineLearning,,2022/04/05,,,,,
2022,口頭発表,国際,無,Benign Overfitting in Conditional Average Treatment Effect Predictionwith Linear Regression,"Masahiro Kato, MasaakiImaizumi",Workshop on the Theory ofOverparameterized MachineLearning,,2022/04/05,,,,,
2022,口頭発表,国内,無,深層学習の原理記述に向けた構造汎化理論スキームの開発,今泉 允聡,JST創発的研究支援事業「融合の場」,,2022/05/20,,,,,
2022,招待講演,国際,無,Benign overfitting in stochastic regression,"S.Nakakita, M.Imaizumi",EcoSta,,2022/05/24,,,,,
2022,招待講演,国内,無,深層学習の原理を明らかにする理論の試み,Masaaki Imaizumi,JFFoS,,2022/06/10,,,,,
2022,招待講演,国内,無,mROS 2: ロボットソフトウェアの組込みデバイス向け軽量実行環境,高瀬英希,TOPPERSカンファレンス2022,,2022/06/10,,,,,
2022,招待講演,国際,有,M.Imaizumi,Hypothesis Test andConfidence Analysis withWasserstein Distance onGeneral Dimension,EcoSta,,2022/06/15,,,,,
2022,招待講演,国内,無,深層学習の原理に挑む理論の試み,今泉 允聡,第46回IBISML研究会,,2022/06/28,,,,,
2022,招待講演,国内,無,深層学習の原理を明らかにする理論の試み,今泉 允聡,電子情報通信学会Webinarチュートリアルシリーズ,,2022/08/15,,,,,
2022,招待講演,国内,無,多様性と環境変化に寄り添うエッジAI基盤の実現に向けて,高前田 伸也,DAシンポジウム2022,,2022/08/24,,,167,167,published
2022,口頭発表,国内,無,High-Dimensional Asymptotics of Semiparametric Generalized LinearModels via Approximate Message Passing,澤谷 一磨、植松 良公、今泉 允聡,統計関連学会連合大会,,2022/09/05,,,,,
2022,口頭発表,国内,無,操作変数による非スパース高次元な線形回帰モデルの良性過適合,津田 俊樹、今泉 允聡,統計関連学会連合大会,,2022/09/05,,,,,
2022,口頭発表,国内,無,多変量ガウス分布間回帰,岡野 遼、今泉 允聡,統計関連学会連合大会,,2022/09/05,,,,,
2022,口頭発表,国内,無,補正付敵対的訓練による深層ニューラルネットワーク推定量のSupノルム収束,今泉 允聡,統計関連学会連合大会,,2022/09/05,,,,,
2022,口頭発表,国内,無,Benign-Overfitting of Overparameterized Bayesian Linear Regression,若山 智哉、今泉 允聡,統計関連学会連合大会,,2022/09/05,,,,,
2022,招待講演,国内,無,線形時系列モデルにおける良性過適合,仲北 祥悟、今泉允聡,統計関連学会連合大会,,2022/09/05,,,,,
2022,招待講演,国内,無,メカニズムとの学際的統合による新しい分散学習理論基盤の構築,今泉允聡,IPSJ連続セミナー2022「その先へ 情報技術が貢献できること」,,2022/09/26,,,,,
2022,招待講演,国内,無,多様性と環境変化に寄り添う信頼される分散機械学習基盤のための要素技術とその応用,高前田 伸也,情報処理学会 連続セミナー2022 「その先へ 情報技術が貢献できること」,,2022/09/26,,,,,
2022,招待講演,国内,無,広域分散型IoTシステムのための包括的コンピューティング技術,高瀬英希,IPSJ連続セミナー2022「その先へ 情報技術が貢献できること」,,2022/09/26,,,,,
2022,招待講演,国内,無,信頼できるLiDARに向けて,吉岡健太郎,情報処理学会IPSJ連続セミナー,,2022/09/26,,,,,
2022,招待講演,国内,無,人を取り巻く社会基盤のデータの活用〜リモートセンシングとモバイルセンシングへの高精度衛星測位応用〜,木谷友哉,IPSJ連続セミナー2022「その先へ 情報技術が貢献できること」,,2022/09/26,,,,,
2022,口頭発表,国内,無,Now and Next about mROS 2,高瀬英希，細合晋太郎，檜原陽一郎， 田中晴亮(東京大学)，森田正二,ROSCon JP 2022,,2022/10/19,,,,,
2022,招待講演,国内,無,土木情報学におけるGNSSの新たな役割と技術資料のオープン化,木谷 友哉,GPS/GNSSシンポジウム,,2022/10/20,,2022,,,published
2022,口頭発表,国際,無,On the way to achieve autonomous node communication in the Elixirecosystem,"Hideki Takase, ShintaroHosoai, Ryota Kinukawa, Shunsuke Kikuchi",Code BEAM America 2022,,2022/11/03,,,,,
2022,招待講演,国内,無,非スパースな高次元漸近論の理論と応用,今泉允聡,大規模複雑データの理論と方法論˜新たな発展と関連分野への応用˜,,2022/11/10,,,,,
2022,招待講演,国内,無,mROS 2が拓くIoT Computingの新しいカタチ,高瀬英希,EdgeTech+ 2022,,2022/11/17,,,,,
2022,ポスター・デモ,国内,有,Semiparametric Contextual Best Arm Identification with a Fixed Budget,"加藤真大, 今泉允聡, 石原卓弥, 北川透",IBIS2022,,2022/11/21,,,,,
2022,ポスター・デモ,国内,無,Dynamics of Deep Neural Network: A Functional and Diffusion ProcessApproach,"西澤渉, 今泉允聡",IBIS2022,,2022/11/22,,,,,
2022,招待講演,国際,無,Algorithm/Hardware Co-design for Reliable AI,Shinya Takamaeda-Yamazaki,"The 2022 International Meetingfor Future of Electron Devices, Kansai (IMFEDK 2022)",,2022/11/28,,,,,
2022,招待講演,国際,無,Theory of Deep Learning and Overparmeterization,Masaaki Imaizumi,"Online Asian Machine LearningSchool, Asian Conference onMachine Learning",,2022/12/13,,,,,
2022,招待講演,国際,無,High-dimensional asymptotics for single-index models via approximatemessage passing,"Y. Uematsu, K. Sawaya, M. Imaizumi",CMStatistics,,2022/12/20,,,,,
2022,招待講演,国際,無,Sup-norm convergence of deep network estimator for nonparametricregression with corrected adversarial training,M.Imaizumi,CMStatistics,,2022/12/20,,,,,
2022,口頭発表,国際,有,Best Arm Identification with a Fixed Budget under a Small Gap,"M.Kato, K.Ariu, M.Imaizumi, M.Uehara, M.Nomura",2023 ASA Annual Meeting,,2023/01/05,,,,,
2022,招待講演,国内,無,深層学習と過剰パラメータの理論,今泉允聡,国立精神・神経医療研究センターの脳病態数理・データ科学セミナーシリーズ,,2023/01/10,,,,,
2022,ポスター・デモ,国際,有,Why does SGD prefer flat minima?: Through the lens of dynamicalsystems,"Hikaru Ibayashi, MasaakiImaizumi",AAAI WS When MachineLearning meets DynamicalSystems: Theory andApplications,,2023/02/13,,,,,
2022,招待講演,国内,無,深層学習を用いた車載カメラによる二輪車の検出 始めとする二輪車情報学研究およびその関連技術の紹介,木谷友哉,自動車技術会2022年度第6回車外騒音部門委員,,2023/02/20,,,,,
2022,招待講演,国内,無,深層学習と過剰パラメータの理論,今泉允聡,フォレストワークショップ2023,,2023/03/01,,,,,
2022,口頭発表,国内,無,フィルターが小さい深層CNNの最適近似レート,佐藤佑真、今泉允聡,情報論的学習理論と機械学習研究会(IBISML),,2023/03/02,,,,,
2022,招待講演,国内,無,アナログが世界を救う? アナログコンピューティングの応用と課題,吉岡健太郎,最適輸送ワークショップ2023,,2023/03/09,,,,,
2022,招待講演,国際,無,High-Dimensional Estimators: Universality and Non-Linearity,Masaaki Imaizumi,Workshop on FunctionalInference and MachineIntelligence,,2023/03/14,,,,,
2022,招待講演,国内,無,高次元ガウス近似によるWasserstein距離推定の不確実性評価,今泉允聡,Workshop OT 2023,,2023/03/15,,,,,
2023,口頭発表,国内,無,深層学習の原理に迫る -数学の挑戦-,今泉允聡,京都大学理学部第22回MACSコロキウム,,2023/04/28,,,,,published
2023,口頭発表,国内,無,深層学習と過剰パラメータの理論,今泉允聡,創発的研究支援事業 融合の場,,2023/05/20,,,,,published
2023,口頭発表,国内,無,深層学習と過剰パラメータの理論,今泉允聡,東京大学大学院 数理科学研究科／情報理工学系研究科 数値解析セミナー,,2023/05/23,,,,,published
2023,口頭発表,国際,無,Sup-norm convergence of deep network estimator for nonparametricregression with corrected adversarial training,Masaaki Imazumi,Korian Statistical Society,,2023/05/26,,,,,published
2023,口頭発表,国内,無,深層学習の原理に迫る ──数学の挑戦──,今泉允聡,高校生と大学生のための金曜特別講座,,2023/05/26,,,,,published
2023,招待講演,国内,無,魔法戦士のすすめ〜科学技術分野の文部科学大臣表彰・若手科学者賞受賞に際して〜,高前田 伸也,電子情報通信学会研究会報告CPSY2023-7,,2023/06/06,123,62,,,published
2023,口頭発表,国際,無,On Generalization Bounds for Deep Networks based on Loss SurfaceImplicit Regularization,Masaaki Imaizumi,Latin American Congress ofProbability and MathematicalStatistics,,2023/06/11,,,,,published
2023,口頭発表,国際,無,"DEEP LEARNING: Theory, Algorithms, and Applications 2023",Masaaki Imaizumi,Sup-norm convergence of deepnetwork estimator fornonparametric regression withcorrected adversarial training,,2023/06/22,,,,,published
2023,招待講演,国内,無,精度衛星測位応用研究と土木情報学研究所設立,木谷 友哉,令和5年度 日本測量学会 中部支部 講演会,,2023/07/04,,,,,
2023,口頭発表,国際,無,Estimation of single index models in moderately high dimension,"Kazuma Sawaya, Yoshimasa Uematsu, Masaaki Imaizumi",Econometric and Statistics,,2023/08/01,,,,,published
2023,口頭発表,国際,有,Synthetic control methods through predictive synthesis,"M. Kato, A. Fukuda, K.Takanashi, K. McAlinn, A.Ohda, M. Imaizumi",Econometrics and Statistics,,2023/08/02,,,,,published
2023,ポスター・デモ,国内,無,ニューラルネットワークの完全整数学習のためのオプティマイザ,"劉 世芾, 金子 竜也, 高前田 伸也","The 5th cross-disciplinaryWorkshop on ComputingSystems, Infrastructures, andProgramming (xSIG 2023)",,2023/08/02,,,,,
2023,ポスター・デモ,国内,無,高精度な低ビット幅ベイジアンニューラルネットワークの検討,"菅 研吾, 平山 侑樹, 金子竜也, 高前田 伸也","The 5th cross-disciplinaryWorkshop on ComputingSystems, Infrastructures, andProgramming (xSIG 2023)",,2023/08/02,,,,,
2023,口頭発表,国内,無,非同期非中央集権型連合学習におけるモデルパラメータ更新戦略の動的な切り替え手法の検討,小野悠太，細合晋太郎，中村宏，高瀬英希,RIXX Workshop 2023,,2023/08/29,,,,,
2023,口頭発表,国内,有,非対称リンクをもつ高次元一般化線形モデルの統計的推論,"澤谷一磨, 植松良公, 今泉允聡",2024年度統計関連学会連合大会,,2023/09/04,,,,,published
2023,口頭発表,国内,無,Augmented Projection Wasserstein 距離,"杉本実優, 今泉允聡, 岡野遼",2023年度統計関連学会連合大会,,2023/09/04,,,,,published
2023,口頭発表,国内,無,確率分布のクラスタリング,"岡野遼, 今泉允聡",2023年度統計関連学会連合大会,,2023/09/05,,,,,published
2023,口頭発表,国内,有,最適腕識別：適応的実験計画による方策選択,"加藤真大, 今泉允聡, 石原卓弥, 北川透",2023年度統計関連学会連合大会,,2023/09/05,,,,,published
2023,口頭発表,国内,無,高次元線形回帰モデルのもとでの条件付き平均処置効果の推定,"加藤真大, 今泉允聡",2023年度統計関連学会連合大会,,2023/09/06,,,,,published
2023,口頭発表,国内,有,A dimension-free concentration inequality for sums of random matricesunder dependence,"仲北祥悟, Alquier Pierre, 今泉允聡",2023年度統計関連学会連合大会,,2023/09/06,,,,,published
2023,口頭発表,国内,無,量子化回帰モデルの統計力学的解析,"柏村周平, 坂田綾香, 今泉允聡",日本物理学会第78回年次大会,,2023/09/17,,,,,published
2023,口頭発表,国内,有,Dimension-free concentration inequalities for sums of weakly dependentrandom matrices,"仲北祥悟, Pierre Alquier, 今泉允聡",日本数学会秋季総合分科会,,2023/09/21,,,,,published
2023,口頭発表,国際,無,An Integrated Distributed Simulation Environment weaving by Hakoniwaand mROS 2,"Hideki Takase, ShintaroHosoai, Tatsuya Fukuta, Mitsutaka Takada, ShinKuboaki and Takashi Mori",ROSCon 2023,,2023/10/20,,,,,
2023,口頭発表,国内,無,外れ値を含んだデータにおけるSGDの大域収束性について,"吉田直生, 今泉允聡, 仲北祥悟",IBIS2023,,2023/10/29,,,,,published
2023,口頭発表,国内,無,量子化回帰モデルの汎化誤差解析,"柏村周平, 坂田綾香, 今泉允聡",IBIS2023,,2023/10/29,,,,,published
2023,口頭発表,国内,無,ワッサースタイン計量の下での多変量ガウス分布間の回帰モデル,"岡野遼, 今泉允聡",IBIS2023,,2023/10/29,,,,,published
2023,口頭発表,国内,有,非スパースな高次元文脈付きバンディット問題,"小宮山純平, 今泉允聡",IBIS2023,,2023/10/29,,,,,published
2023,口頭発表,国内,無,ゼロから作る深層学習理論,今泉允聡,IBIS2023チュートリアル,,2023/10/29,,,,,published
2023,口頭発表,国内,無,深層学習・人工知能の原理に迫る理論の試み,今泉允聡,日本地震学会春季大会,,2023/11/02,,,,,published
2023,口頭発表,国内,無,深層学習と過剰パラメータの理論,今泉允聡,物理屋のための機械学習講義,,2023/12/04,,,,,published
2023,口頭発表,国際,有,Non-sparse high-dimensional statistics and its applications,Masaaki Imaizumi,International Symposium onRecent Advances in Theoriesand Methodologies for LargeComplex Data,,2023/12/08,,,,,published
2023,招待講演,国内,無,複数の移動無線観測機を用いた下水管検査の省力化の取り組み,石原進,"電子情報通信学会技術研究報告, 無線通信システム研究会 (RCS)",,2023/12/14,123,"08, RCS2023-183",33,34,published
2023,口頭発表,国内,無,深層学習と過剰パラメータの理論,今泉允聡,固体地球科学データ同化/データ駆動型地球科学に関する研究会,,2023/12/18,,,,,published
2023,口頭発表,国際,有,High-dimensional Contextual Bandit Problem without Sparsity,"Junpei Komiyama, Masaaki Imaizumi",Neural Information ProcessingSystems,,2023/12/19,,,,,published
2023,口頭発表,国際,無,Statistical Analysis on Generalization Ability of In-Context Learning,Masaaki Imaizumi,Institute of StatisticalMathematics Asia Pasific RimMeeting 2024,,2024/01/05,,,,,published
2023,口頭発表,国際,無,Statistical Analysis on Generalization Ability of In-Context Learning,Masaaki Imaizumi,The Mathematics of Data,,2024/01/17,,,,,published
2023,口頭発表,国内,無,インコンテキスト学習の統計学的解析,今泉允聡,統計科学・機械学習・情報数学の最前線,,2024/01/27,,,,,published
2023,招待講演,国内,無,エコシステム形成に向けたアカデミアの役割,木谷 友哉,浜松市“デジタル・スマートシティ浜松” ウェビナーシリーズ令和5年度 第4回データ連携基盤（FIWARE）活用のエコシステム形成に向けて〜コミュニティーとビジネス環境の強化〜,,2024/01/31,,,,,
2023,口頭発表,国内,無,深層学習と過剰パラメータの理論、人工知能の理解への試み,今泉允聡,情報計測オンラインセミナー,,2024/02/10,,,,,published
2023,口頭発表,国内,無,深層学習と過剰パラメータの理論,今泉允聡,総合研究大学院大学葉山セミナー,,2024/02/13,,,,,published
2023,口頭発表,国内,有,現代的データ科学の数理：新しい高次元統計とインコンテキスト学習の統計理論,今泉允聡,九州大学数学科統計科学セミナー,,2024/02/16,,,,,published
2023,口頭発表,国内,無,現代的データ科学の数理：新しい高次元統計とインコンテキスト学習の統計理論,今泉允聡,東京大学数理情報学談話会,,2024/02/19,,,,,published
2023,口頭発表,国内,無,深層学習に関する幾つかの理論研究,今泉允聡,第4回TREFOIL研究会,,2024/02/21,,,,,published
2023,口頭発表,国内,無,汎用基盤技術研究グループパネルディスカッション,今泉允聡,AIPシンポジウム 2023年度 成果報告会,,2024/03/01,,,,,published
2023,口頭発表,国内,無,確率過程サンプリングと動力学計算の融合による非線形力学系のランドスケープ解析,"仲田資季, 今泉允聡",日本応用数理学会第20回研究部会連合発表会,,2024/03/04,,,,,published
2023,口頭発表,国際,無,Introduction to Theory of Deep Learning,Masaaki Imaizumi,The Machine Learning SummerSchool in Okinawa 2024,,2024/03/05,,,,,published
2023,口頭発表,国際,無,"Zenohex:an eloquent, scalable and fast communication library for Elixir","Shintaro Hosoai, HidekiTakase and MitsuhiroOsaki",Code BEAM America 2023,,2024/03/07,,,,,
2023,口頭発表,国内,無,深層学習と過剰パラメータの理論,今泉允聡,計算物理春の学校2024,,2024/03/14,,,,,published
2023,招待講演,国内,無,A 818-4094 TOPS/W Capacitor-Reconfigured CIM Macro for UnifiedAcceleration of CNNs and Transformers,吉岡健太郎,ISSCC国内報告会,,2024/03/15,,,,,
2023,招待講演,国内,無,【先進自治体に学ぶ（浜松市×静岡大学）：その3】土木フィールド×情報学による防災研究,木谷 友哉,スマートシティジャパン（SC-Japan）講座 C-R MAPプログラム,,2024/03/15,,,,,
2023,口頭発表,国際,無,"Deep Learning: Theory, Applications, and Implications",Masaaki Imaizumi,"Deep Learning: Theory, Applications, and Implications",,2024/03/19,,,,,published
2023,口頭発表,国際,無,Statistics for Modern Data Science: Statistical Analysis onOverparameterized Models and In-Context Learning,Masaaki Imaizumi,International Conference onScientific Computing andMachine Learning 2024,,2024/03/21,,,,,published
2023,口頭発表,国際,無,Statistical Analysis on Overparameterized Models and In-ContextLearning,Masaaki Imaizumi,Workshop on FunctionalInference and MachineIntelligence,,2024/03/27,,,,,published
2023,口頭発表,国内,無,インコンテキスト学習の統計学的解析,今泉允聡,フォレストワークショップ2024,,2024/03/29,,,,,published
2023,口頭発表,国内,無,D3-AI: 多様性と環境変化に寄り添う分散機械学習基盤,高前田 伸也,フォレストワークショップ2024,,2024/03/29,,,,,
2023,口頭発表,国内,無,ハードウェアとアルゴリズムの協調設計による高効率な機械学習の実現,平山 侑樹,フォレストワークショップ2024,,2024/03/29,,,,,
2023,口頭発表,国内,無,信頼される連合学習システムに向けて,金子 竜也,フォレストワークショップ2024,,2024/03/30,,,,,
2023,ポスター・デモ,国内,無,IPコア間の隠れ通信路,薄井 真之,フォレストワークショップ2024,,2024/03/30,,,,,
2023,ポスター・デモ,国内,無,スケラーブルなwiredアクセラレータ,尾崎 巧基,フォレストワークショップ2024,,2024/03/30,,,,,
2023,ポスター・デモ,国内,無,ビットレベルの早期終了を用いた高性能な決定木アンサンブルアクセラレータ,篤田 大知,フォレストワークショップ2024,,2024/03/30,,,,,
2023,ポスター・デモ,国内,無,軽量Edge-Popupアルゴリズムによるハードウェア効率の高い転移学習,穴田 穂乃香,フォレストワークショップ2024,,2024/03/30,,,,,
2023,ポスター・デモ,国内,無,メモリ整合性検証機構を有するハードウェア高位合成,長谷 知弥,フォレストワークショップ2024,,2024/03/30,,,,,
2023,口頭発表,国内,無,オブジェクトベースメディアによる実時間双方向通信基盤,曽根 卓朗,フォレストワークショップ2024,,2024/03/30,,,,,
2023,口頭発表,国内,無,土木フィールドへの情報科学の応用,木谷 友哉,フォレストワークショップ2024,,2024/03/30,,,,,
2023,ポスター・デモ,国内,無,高精度三次元地図を利用した高精度GNSSプローブデータの検証,外谷 新,フォレストワークショップ2024,,2024/03/30,,,,,
2024,口頭発表,国内,無,機械学習による不動産価格予測に夜間光を用いた高精度化,大友 翔一,フォレストワークショップ2024,,2024/03/30,,,,,
2024,招待講演,国内,無,高精度、高効率アナログCompute-in-Memory回路に向けて,吉岡健太郎,集積回路研究会,,2024/04/14,,,,,
2024,招待講演,国内,無,高精度、高効率アナログCompute-in-Memory回路に向けて,吉岡健太郎,集積回路研究会,,2024/04/14,,,,,
2024,招待講演,国内,無,信頼されるAIシステムを支えるコンピューティング技術,高前田 伸也,IEEE 名古屋支部 EducationActivity 講演会,,2024/04/17,,,,,
2024,ポスター・デモ,国内,無,Bit-parallel型Computing In-Memory processorのための電流時間積分型ドライバ,"宮城 賢美, 安藤 慎平, 張文倫, 吉岡 健太郎",LSIワークショップ,,2024/05/01,,,,,
2024,ポスター・デモ,国内,無,Saliency-aware Fully-Analog Computing In-Memory型低消費電力AIアクセラレータ,"安藤 慎平, 宮城 賢美, 張文倫, 吉岡 健太郎",LSIワークショップ,,2024/05/01,,,,,
2024,招待講演,国際,無,Zenohex: a Pub/Sub based Communication Library from Device to theCloud,Hideki Takase,Multicore and MultiprocessorSoCs (MPSoCs) 2024,,2024/07/08,,,,,
2024,招待講演,国内,無,関数型言語Elixirによる広域分散IoTシステム向けの資源透過型広域分散コンピューティング環境,高瀬英希,情報処理学会第66回組込みシステム研究発表会,,2024/07/19,,,,,
2024,招待講演,国内,無,ROSことはじめ 〜 通信・分散処理の仕組みを中心として 〜,高瀬英希,四国情報通信懇談会 ICT研究交流フォーラム ICT技術勉強会,,2024/08/01,,,,,
2024,ポスター・デモ,国内,無,How to Know You: From Server’s View to Client Data Distribution Too,"金子 竜也, 高前田 伸也","The 6th cross-disciplinaryWorkshop on ComputingSystems, Infrastructures, andProgramming (xSIG 2024)",,2024/08/07,,,,,
2024,ポスター・デモ,国内,無,確率的デバイスにおける大規模言語モデルの信頼性評価,"薄井 真之, 金子 竜也, 高前田 伸也","The 6th cross-disciplinaryWorkshop on ComputingSystems, Infrastructures, andProgramming (xSIG 2024)",,2024/08/07,,,,,
2024,招待講演,国際,無,Towards Efficient and Precise Analog Compute-in-Memory Circuits,"K. Yoshioka, S. Ando, S.Miyagi, Y-C Chen, W.Zhang",SSDM,,2024/09/04,,,,,
2024,招待講演,国内,無,信頼されるAIシステムを支える計算技術〜FPGAを添えて〜,高前田 伸也,電子情報通信学会リコンフィギャラブルシステム研究会,,2024/09/18,,,,,
2024,口頭発表,国内,無,ROS 2のZenoh対応とZenohのROS 2対応,高瀬英希,ROSCon JP 2024,,2024/09/25,,,,,
2024,口頭発表,国内,無,ドローン／PX4をデジタルツインへと導く箱庭技術,森 崇，平鍋 健児，高田光隆，久保秋 真，細合 晋太郎，高瀬 英希,ROSCon JP 2024,,2024/09/25,,,,,
